"VECTORS","RSA-PSS","DSA","ECDSA"
,0.006845300000000165,0.0027927000000005364,0.014701500000001033
,0.006408799999999104,0.0025782000000020844,0.0157121999999994
,0.006408999999997889,0.0023698000000003105,0.010858000000002477
3847acdb384756123847acdb38475612,0.00649140000000159,0.0052133000000011975,0.015112299999998413
3847acdb384756123847acdb38475612,0.0069331999999988625,0.0022931999999968866,0.011984099999999387
3847acdb384756123847acdb38475612,0.008216000000004442,0.0022874000000001615,0.011136100000001647
3847acdb384756123847acdb384756123847acdb384756123847acdb38475612,0.006681200000002718,0.002299799999995855,0.01125509999999963
3847acdb384756123847acdb384756123847acdb384756123847acdb38475612,0.006515300000003776,0.0022719999999978313,0.011113000000001705
3847acdb384756123847acdb384756123847acdb384756123847acdb38475612,0.007064399999997306,0.0035957999999993717,0.016391400000003387
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,0.014476999999999407,0.0029909000000003516,0.014193099999999959
